Hour(HH),type ,Highway,Peak_Hour,Count
0,Alert,FALSE,FALSE,48
0,Congestion,FALSE,FALSE,1
0,Crash,FALSE,FALSE,25
0,Crash,TRUE,FALSE,11
0,Hazard,FALSE,FALSE,41
0,Hazard,TRUE,FALSE,54
0,Planned Event/Roadworks,FALSE,FALSE,651
0,Planned Event/Roadworks,TRUE,FALSE,114
0,Stationary Vehicle,FALSE,FALSE,9
0,Stationary Vehicle,TRUE,FALSE,88
1,Alert,FALSE,FALSE,10
1,Alert,TRUE,FALSE,2
1,Congestion,FALSE,FALSE,1
1,Crash,FALSE,FALSE,27
1,Crash,TRUE,FALSE,33
1,Hazard,FALSE,FALSE,64
1,Hazard,TRUE,FALSE,70
1,Planned Event/Roadworks,FALSE,FALSE,237
1,Planned Event/Roadworks,TRUE,FALSE,77
1,Stationary Vehicle,FALSE,FALSE,18
1,Stationary Vehicle,TRUE,FALSE,116
2,Alert,FALSE,FALSE,7
2,Alert,TRUE,FALSE,1
2,Congestion,FALSE,FALSE,1
2,Crash,FALSE,FALSE,32
2,Crash,TRUE,FALSE,20
2,Hazard,FALSE,FALSE,80
2,Hazard,TRUE,FALSE,69
2,Planned Event/Roadworks,FALSE,FALSE,120
2,Planned Event/Roadworks,TRUE,FALSE,59
2,Stationary Vehicle,FALSE,FALSE,10
2,Stationary Vehicle,TRUE,FALSE,110
3,Alert,FALSE,FALSE,2
3,Alert,TRUE,FALSE,2
3,Crash,FALSE,FALSE,19
3,Crash,TRUE,FALSE,23
3,Hazard,FALSE,FALSE,51
3,Hazard,TRUE,FALSE,49
3,Planned Event/Roadworks,FALSE,FALSE,76
3,Planned Event/Roadworks,TRUE,FALSE,22
3,Stationary Vehicle,FALSE,FALSE,7
3,Stationary Vehicle,TRUE,FALSE,84
4,Alert,FALSE,FALSE,6
4,Alert,TRUE,FALSE,2
4,Crash,FALSE,FALSE,23
4,Crash,TRUE,FALSE,42
4,Hazard,FALSE,FALSE,56
4,Hazard,TRUE,FALSE,82
4,Planned Event/Roadworks,FALSE,FALSE,84
4,Planned Event/Roadworks,TRUE,FALSE,25
4,Stationary Vehicle,FALSE,FALSE,11
4,Stationary Vehicle,TRUE,FALSE,104
5,Alert,FALSE,FALSE,1
5,Alert,TRUE,FALSE,3
5,Congestion,FALSE,TRUE,1
5,Congestion,TRUE,FALSE,1
5,Congestion,TRUE,TRUE,1
5,Crash,FALSE,FALSE,10
5,Crash,FALSE,TRUE,42
5,Crash,TRUE,FALSE,25
5,Crash,TRUE,TRUE,41
5,Hazard,FALSE,FALSE,28
5,Hazard,FALSE,TRUE,64
5,Hazard,TRUE,FALSE,42
5,Hazard,TRUE,TRUE,58
5,Planned Event/Roadworks,FALSE,FALSE,62
5,Planned Event/Roadworks,FALSE,TRUE,171
5,Planned Event/Roadworks,TRUE,FALSE,33
5,Planned Event/Roadworks,TRUE,TRUE,154
5,Stationary Vehicle,FALSE,FALSE,13
5,Stationary Vehicle,FALSE,TRUE,17
5,Stationary Vehicle,TRUE,FALSE,69
5,Stationary Vehicle,TRUE,TRUE,92
6,Alert,FALSE,TRUE,11
6,Alert,TRUE,TRUE,2
6,Congestion,FALSE,TRUE,83
6,Congestion,TRUE,TRUE,114
6,Crash,FALSE,TRUE,257
6,Crash,TRUE,TRUE,185
6,Hazard,FALSE,TRUE,202
6,Hazard,TRUE,TRUE,291
6,Planned Event/Roadworks,FALSE,TRUE,369
6,Planned Event/Roadworks,TRUE,TRUE,68
6,Stationary Vehicle,FALSE,TRUE,114
6,Stationary Vehicle,TRUE,TRUE,738
7,Alert,FALSE,TRUE,12
7,Alert,TRUE,TRUE,12
7,Congestion,FALSE,TRUE,184
7,Congestion,TRUE,TRUE,168
7,Crash,FALSE,TRUE,373
7,Crash,TRUE,TRUE,253
7,Hazard,FALSE,TRUE,307
7,Hazard,TRUE,TRUE,487
7,Planned Event/Roadworks,FALSE,TRUE,560
7,Planned Event/Roadworks,TRUE,TRUE,160
7,Stationary Vehicle,FALSE,TRUE,383
7,Stationary Vehicle,TRUE,TRUE,1672
8,Alert,FALSE,FALSE,8
8,Alert,FALSE,TRUE,8
8,Alert,TRUE,FALSE,3
8,Alert,TRUE,TRUE,6
8,Congestion,FALSE,FALSE,76
8,Congestion,FALSE,TRUE,155
8,Congestion,TRUE,FALSE,122
8,Congestion,TRUE,TRUE,124
8,Crash,FALSE,FALSE,343
8,Crash,FALSE,TRUE,374
8,Crash,TRUE,FALSE,193
8,Crash,TRUE,TRUE,173
8,Hazard,FALSE,FALSE,228
8,Hazard,FALSE,TRUE,271
8,Hazard,TRUE,FALSE,336
8,Hazard,TRUE,TRUE,373
8,Planned Event/Roadworks,FALSE,FALSE,526
8,Planned Event/Roadworks,FALSE,TRUE,477
8,Planned Event/Roadworks,TRUE,FALSE,166
8,Planned Event/Roadworks,TRUE,TRUE,215
8,Stationary Vehicle,FALSE,FALSE,643
8,Stationary Vehicle,FALSE,TRUE,835
8,Stationary Vehicle,TRUE,FALSE,942
8,Stationary Vehicle,TRUE,TRUE,1097
9,Alert,FALSE,FALSE,17
9,Alert,TRUE,FALSE,1
9,Congestion,FALSE,FALSE,57
9,Congestion,TRUE,FALSE,89
9,Crash,FALSE,FALSE,550
9,Crash,TRUE,FALSE,287
9,Hazard,FALSE,FALSE,519
9,Hazard,TRUE,FALSE,545
9,Planned Event/Roadworks,FALSE,FALSE,957
9,Planned Event/Roadworks,TRUE,FALSE,321
9,Stationary Vehicle,FALSE,FALSE,687
9,Stationary Vehicle,TRUE,FALSE,1781
10,Alert,FALSE,FALSE,10
10,Alert,TRUE,FALSE,6
10,Congestion,FALSE,FALSE,31
10,Congestion,TRUE,FALSE,59
10,Crash,FALSE,FALSE,431
10,Crash,TRUE,FALSE,287
10,Hazard,FALSE,FALSE,651
10,Hazard,TRUE,FALSE,724
10,Planned Event/Roadworks,FALSE,FALSE,772
10,Planned Event/Roadworks,TRUE,FALSE,296
10,Stationary Vehicle,FALSE,FALSE,498
10,Stationary Vehicle,TRUE,FALSE,2052
11,Alert,FALSE,FALSE,9
11,Alert,TRUE,FALSE,6
11,Congestion,FALSE,FALSE,13
11,Congestion,TRUE,FALSE,53
11,Crash,FALSE,FALSE,398
11,Crash,TRUE,FALSE,270
11,Hazard,FALSE,FALSE,466
11,Hazard,TRUE,FALSE,609
11,Planned Event/Roadworks,FALSE,FALSE,422
11,Planned Event/Roadworks,TRUE,FALSE,194
11,Stationary Vehicle,FALSE,FALSE,327
11,Stationary Vehicle,TRUE,FALSE,1511
12,Alert,FALSE,FALSE,9
12,Alert,TRUE,FALSE,8
12,Congestion,FALSE,FALSE,18
12,Congestion,TRUE,FALSE,41
12,Crash,FALSE,FALSE,486
12,Crash,TRUE,FALSE,279
12,Hazard,FALSE,FALSE,505
12,Hazard,TRUE,FALSE,694
12,Planned Event/Roadworks,FALSE,FALSE,400
12,Planned Event/Roadworks,TRUE,FALSE,163
12,Stationary Vehicle,FALSE,FALSE,401
